name,street,postcode,city,latitude,longitude,turnover,change in turnover,profit,operative profit,personnel
Arkkitehtitoimisto Sievänen L & M Oy,Länsiportti 1 C 18,02210,Espoo,0.0,0.0,,,,,
Arkkitehtitoimisto Siitonen Tuomo Oy,Veneentekijäntie 12,00210,Helsinki,60.15102305,24.88738859116405,1164.0,"6,5%",283.0,"30,3%",8.0
Arkkitehtitoimisto Sillman,Kauppakatu 25 A,87100,Kajaani,62.891366000000005,27.6732691,579.0,"-0,7%",16.0,"4,5%",9.0
Arkkitehtitoimisto Siltanen ja Laakso Oy,Hilda Flodinin aukio 2 A 1,00300,Helsinki,60.201225300000004,24.895712200000002,463.0,0%,13.0,"2,8%",3.0
Arkkitehtitoimisto Sipinen Oy,Tiistilänkuja 5 C,02230,Espoo,60.1551743,24.735876,,,,,
Arkkitehtitoimisto Sipponen-Teerenmaa Oy,Kurukatu 5,15950,Lahti,46.855515000000004,9.525406599999998,14.0,"-39,1%",-10.0,"-78,6%",1.0
Arkkitehtitoimisto Skammi Oy,Tammimäentie 17,02940,Espoo,60.2296491,24.7214568,66.0,"-31,3%",-10.0,"-15,2%",2.0
Arkkitehtitoimisto Stenros Oy,Bertel Jungin tie 12 C,00570,Helsinki,60.1844594,25.0021206,181.0,"-6,7%",0.0,"51,9%",0.0
Arkkitehtitoimisto Studio Suonto Oy,Oravannahkatori 1,02120,Espoo,60.17564045,24.79240887677539,,,1.0,,
Arkkitehtitoimisto Studio U2 Arkkitehdit Oy,Veneentekijäntie 14,00210,Helsinki,60.1513358,24.88716225,174.0,0%,5.0,4%,
Arkkitehtitoimisto Suominen Arkkitehdit Ky,Puolalanpuisto 4 B 8,20100,Turku,0.0,0.0,,,,,
Arkkitehtitoimisto Talvio,Tervakiventie 177,33680,Tampere,61.57830500000001,23.867046,8.0,,-4.0,-50%,
Arkkitehtitoimisto Tapani Launis,Pohjoinen Hesperiankatu 21 A 35,00250,Helsinki,0.0,0.0,,,,,
Arkkitehtitoimisto Tapani Vuorinen Oy,Vuorikatu 5 B 10,15110,Lahti,63.10089549999999,21.6213108,31.0,"14,8%",10.0,"32,5%",1.0
Arkkitehtitoimisto Tapio Grönlund Oy,Vanhaistentie 4 E 39,00420,Helsinki,0.0,0.0,,,,,
Arkkitehtitoimisto Tarja Outila,Sompiontie 7 B,96100,Rovaniemi,60.2633694,25.028226500000002,,,,,
Arkkitehtitoimisto Tarkko Oksala Tmi,Topeliuksenkatu 3 A A 6,00250,Helsinki,0.0,0.0,,,,,
Arkkitehtitoimisto Tarmo Mustonen Oy,Lehmustie 27 A,20720,Turku,60.1614687,24.6873046,195.0,"4,3%",13.0,"8,7%",2.0
Arkkitehtitoimisto Tarmo R. Paju Oy,Salpausselänkatu 28 A,45100,Kouvola,60.9837073,25.6358547,,,,,
Arkkitehtitoimisto Taru Lindberg,Leenankuja 3 B 34,02230,Espoo,0.0,0.0,,,,,
Arkkitehtitoimisto Tauno Keiramo Oy,Kivelänperäntie 10,20960,Turku,60.36060160000001,22.123127800000002,16.0,"166,7%",6.0,"41,2%",
Arkkitehtitoimisto Teemu Halme,Nousiaistentie 8 A 3,00280,Helsinki,60.19956379999999,24.906211499999998,,,,,
Arkkitehtitoimisto Teppo Pietarinen,Kunnaantie 15 C,01370,Vantaa,60.29720699999999,25.071701899999997,,,,,
Arkkitehtitoimisto Tero Ahava Oy,Sahaajankatu 24,00880,Helsinki,60.2006284,25.047250199999997,148.0,,44.0,"37,2%",1.0
Arkkitehtitoimisto Tero Pelto-Uotila,Suutarinkatu 4 A 2,20300,Turku,62.380203200000004,21.2231236,,,,,
Arkkitehtitoimisto Tervonen Virpi,Rantakatu 10 A 12,23500,Uusikaupunki,36.57323220291377,-94.25236684259536,,,,,
Arkkitehtitoimisto Tilasto,Hyypänpolku 4 A 6,33540,Tampere,61.4924068,23.804213,,,,,
Arkkitehtitoimisto Timo Tuomola Ky,Pohjankatu 4 a,26100,Rauma,62.9046716,27.7001958,,,,,
Arkkitehtitoimisto Timo Viikari & Co Oy,Lastenkodinkatu 5,00180,Helsinki,60.166013899999996,24.9257985,,,,,
Arkkitehtitoimisto Tiuri & Lommi Oy,Laivanvarustajankatu 5,00140,Helsinki,60.1565675,24.9478456,486.0,"8,5%",10.0,"2,7%",6.0
Arkkitehtitoimisto Toivonen Iiro,Merisotilaankatu 3,00160,Helsinki,60.167504799999996,24.976839899999998,196.0,1%,5.0,"3,5%",
Arkkitehtitoimisto Tommi Lehtonen Tmi,Otsolahdentie 7 C 30,02110,Espoo,0.0,0.0,,,,,
Arkkitehtitoimisto Toni Yli-Suvanto Oy,Laivalahdenkaari 34,00810,Helsinki,60.18612335,25.032969925234124,45.0,200%,12.0,"26,7%",1.0
Arkkitehtitoimisto Topi Tuominen Oy,Alppikatu 11 A 75,00530,Helsinki,60.185371700000005,24.9418791,15.0,0%,2.0,"5,6%",
Arkkitehtitoimisto Tuomela Ky,Keskuskatu 10 A 6,62900,Alajärvi,0.0,0.0,,,,,
Arkkitehtitoimisto Tuomo Hahl,Asessorintie 6 B 1,00690,Helsinki,60.260475899999996,24.956910399999998,,,,,
Arkkitehtitoimisto Tupala Ky,Kariniemenkatu 29,15140,Lahti,60.9896009,25.6533823,,,,,
Arkkitehtitoimisto Tuuma/25 Oy,Torkkelinkuja 1 A 11,00500,Helsinki,60.184986,24.9558775,,,,,
Arkkitehtitoimisto UKI Arkkitehdit Oy,Puusepänkatu 6,90130,Oulu,60.194969400000005,25.044427300000002,6012.0,"22,3%",451.0,"9,2%",64.0
Arkkitehtitoimisto Valjus Oy,Tulliportinkatu 3,57100,Savonlinna,62.609210100000006,29.745737300000002,,,179.0,,2.0
Arkkitehtitoimisto Valtteri Heinonen,Töölönkatu 6,00100,Helsinki,60.1777132,24.9280501,,,,,
Arkkitehtitoimisto Vartola & Viljamaa,Munkkiniemenranta 37 as. 2,00330,Helsinki,60.19985129999999,24.860481699999998,,,,,
Arkkitehtitoimisto Veli Karjalainen Oy,Uusikatu 23 as.19,90100,Oulu,0.0,0.0,,,,,
Arkkitehtitoimisto Vepsäläinen Kaisa,Sepänkatu 17 E,00150,Helsinki,61.6988,27.297424,,,,,
Arkkitehtitoimisto Vezio Nava Oy,Eerikinkatu 1 A 2,00100,Helsinki,60.44693589999999,22.2556974,6.0,,-1.0,"-16,7%",
Arkkitehtitoimisto Vimma Oy,Hämeenkatu 21-23,05800,Hyvinkää,61.49790279999999,23.7631422,47.0,"-4,1%",1.0,2%,
Arkkitehtitoimisto Virpiö Oy,Hietaantie 215,03870,Hyönölä,60.4862713,23.884422600000004,110.0,"22,2%",57.0,"60,8%",
Arkkitehtitoimisto Virtanen & Palokangas Ky,Lemmentie 13,16300,Orimattila,44.0948496,9.759536599999999,,,,,
Arkkitehtitoimisto Virtanen Heikki,Uotinmäenkuja 9 C,00970,Helsinki,60.23659129999999,25.1136698,,,,,
Arkkitehtitoimisto Vuorelma Arkkitehdit,Pieni Roobertinkatu 10 C 14,00120,Helsinki,0.0,0.0,,,,,
Arkkitehtitoimisto Vuorio Matti Arkkitehdit Oy,Juhani Ahon tie 16 A 2,00150,Helsinki,60.1565247,24.941425100000004,,,-2.0,,
Arkkitehtitoimisto Wega Oy,Ruukinrannantie 5,02600,Espoo,60.20671435,24.81922895,16.0,700%,12.0,"72,2%",0.0
Arkkitehtitoimisto Westerback Oy,Puusepänkatu 1,00880,Helsinki,60.9870275,24.495217899999997,103.0,"6,2%",9.0,"12,6%",
Arkkitehtitoimisto Ylinen Antti Oy,Näsilinnankatu 23 A 13,33210,Tampere,0.0,0.0,,,,,
Arkkitehtitoimisto Åke Lindeberg Ab Oy,Meriusva 1 A 17,02320,Espoo,0.0,0.0,,,,,
Arkkitehtitoimisto Österlund,Hämeenkatu 16 A 3,33200,Tampere,61.4971596,23.7528978,,,,,
Arkkitehtitsto Knuuti Mikko Ky,Kauppaneuvoksentie 12,63400,Alavus as,60.15944335,24.88161915,,,,,
"Arkkitehtityö Lindström, Virtanen Oy",Rauhankatu 9 B 10,15110,Lahti,0.0,0.0,,,,,
Arkkitehtityöhuone Aprt Oy,Uudenmaankatu 2 K,00120,Helsinki,60.45174720000001,22.2755401,1002.0,"13,1%",20.0,"2,1%",
Arkkitehtuure,Mallastie 16 A 20,90520,Oulu,65.033304,25.4448545,,,,,
Arkkitehtuuri & Sisustus Paula Ahola,Vapaudenkatu 4 B 14,15110,Lahti,60.98393299999999,25.6578204,,,,,
Arkkitehtuuri Akaasia,Kairatie 5 A 8,96100,Rovaniemi,63.072487699999996,21.6714725,,,,,
Arkkitehtuuri Jorma Mukala Ky,Roihuvuorentie 6a A,00820,Helsinki,60.1960372,25.052892553260268,,,,,
Arkkitehtuuri Mjk Martti Kallinen,Tomerontie 65-3,21530,Paimio,60.4752411,22.7183232,,,,,
Arkkitehtuuri Tuuma,Perunkatu 2 A 5,70820,Kuopio,0.0,0.0,,,,,
Arkkitehtuuri ja konsultointi Aulis Tynkkynen,Degerbynkatu 6,07900,Loviisa,63.989352100000005,20.411633600000002,,,,,
Arkkitehtuuri- ja Konsulttitoimisto S.P.Ark,Okatie 5,07700,Koskenkylän saha,60.499284700000004,25.9170216,,,,,
Arkkitehtuuri- ja insinööritoimisto TMX Oy,Yli-Huikkaantie 63,33560,Tampere,61.499553299999995,23.835444100000004,48.0,"-18,6%",10.0,"27,1%",1.0
Arkkitehtuuri- ja muotoilutoimisto Monoment,Neljäs linja 12 B 52,00530,Helsinki,0.0,0.0,,,,,
Arkkitehtuuri- ja muotoilutoimisto Talli Oy,Ratakatu 1 b A 12,00120,Helsinki,0.0,0.0,,,,,
Arkkitehtuurin Työhuone Suunnat,Nuottavuorentie 163 A 1,42800,Haapamäki,0.0,0.0,,,,,
Arkkitehtuuripalvelu Grahn Oy,Tekniikantie 11,02150,Espoo,60.1819769,24.81927630897224,,,,,
Arkkitehtuuripalvelut Gran Oy,Granholmintie 6,44200,Suolahti,62.569086,25.851760199999998,,,,,
Arkkitehtuuripiste ky Jorma Varanka,Pappilantie 7,97900,Posio,61.65216735,27.069218167214533,,,,,
Arkkitehtuuristudio Kaipiainen,Saramäentie 46,20300,Turku,60.4692863,22.280234252711864,,,,,
Arkkitehtuuristudio Luomus Oy,Vilkkimäentie 5,21420,Lieto,60.528777000000005,22.4214446,16.0,,4.0,"29,4%",2.0
Arkkitehtuuristudio Saari,Vanutehtaankatu 2 B 28,24260,Salo,0.0,0.0,,,,,
Arkkitehtuurisuunnittelu Eija Lintula,Ahvenpolku 6,37550,Lempäälä,63.8917584,23.1171237,,,,,
Arkkitehtuurisuunnittelu GR8,Huopalahdentie 4 -6 C 28,00330,Helsinki,0.0,0.0,,,,,
Arkkitehtuurisuunnittelu Jukka Haataja,Ahtelantie 3 C,87200,Kajaani,60.312034600000004,24.1010561,,,,,
Arkkitehtuurisuunnittelu Kari Jäkkö Ky,Petäjäsuontie 20,48400,Kotka,60.4981816,26.841302799999998,,,,,
Arkkitehtuurisuunnittelu Markku Landen,Luntilantie 13 A 5,08500,Lohja,60.2699813,24.1056555,,,,,
Arkkitehtuuritoimi Ilpo Vuorela,Huugontie 5,40900,Säynätsalo,62.125444200000004,25.757407,,,,,
Arkkitehtuuritoiminta Mauri Kärjenniemi,Alakartanontie 6 B 39,02360,Espoo,0.0,0.0,,,,,
Arkkitehtuuritoimisto A. Kärnä Oy,Sairaalakatu 19 B 12,80100,Joensuu,0.0,0.0,,,,,
Arkkitehtuuritoimisto A. M. Ky,Kalliolanrinne 4 A 8 c/o Anteeksi-työhuone,00510,Helsinki,0.0,0.0,,,,,
